Mass,Zprime_tau_m_right_bottom_left,Zprime_tau_m_left_bottom_left,Zprime_tau_m_left_bottom_right,Zprime_tau_m_right_bottom_right,sLQ_tau_m_right,sLQ_tau_m_left,vLQ_tau_m_L_tau_p_R,vLQ_tau_m_R_tau_p_L,vLQ_tau_m_L_tau_p_L,vLQ_tau_m_R_tau_p_R
500,0.2593,0.2587,0.2593,0.2587,0.04916,6.182e-06,0.08013,0.06691,0.2023,0.1986
510,0.2387,0.2391,0.2387,0.2391,0.04628,5.742e-06,0.07382,0.0631,0.1896,0.188
520,0.2191,0.2182,0.2191,0.2182,0.04344,5.265e-06,0.06939,0.05915,0.1757,0.1764
530,0.202,0.2016,0.202,0.2016,0.04018,4.909e-06,0.06496,0.05556,0.1645,0.1641
540,0.1865,0.1869,0.1865,0.1869,0.03811,4.662e-06,0.06098,0.05223,0.1552,0.1536
550,0.1732,0.1736,0.1732,0.1736,0.0358,4.293e-06,0.05668,0.04704,0.1468,0.1453
560,0.1598,0.1587,0.1598,0.1587,0.03436,4.032e-06,0.05373,0.04544,0.1363,0.1356
570,0.1488,0.1489,0.1488,0.1489,0.03223,3.745e-06,0.05018,0.04232,0.1305,0.129
580,0.137,0.1367,0.137,0.1367,0.02994,3.507e-06,0.04726,0.04096,0.1216,0.1198
590,0.1283,0.1277,0.1283,0.1277,0.02891,3.249e-06,0.04456,0.0379,0.1135,0.1122
600,0.1184,0.1188,0.1184,0.1188,0.02679,3.082e-06,0.04104,0.03556,0.1089,0.1063
610,0.1106,0.1101,0.1106,0.1101,0.02469,2.849e-06,0.03905,0.03331,0.1012,0.09938
620,0.1032,0.1019,0.1032,0.1019,0.02371,2.692e-06,0.03716,0.03165,0.09584,0.09503
630,0.09623,0.0958,0.09623,0.0958,0.0228,2.55e-06,0.0352,0.03006,0.09104,0.09066
640,0.08944,0.08971,0.08944,0.08971,0.0216,2.346e-06,0.03373,0.02871,0.08737,0.08688
650,0.08299,0.08301,0.08299,0.08301,0.02036,2.227e-06,0.03211,0.02724,0.08281,0.0817
660,0.07684,0.0782,0.07684,0.0782,0.01954,2.118e-06,0.02967,0.02538,0.07828,0.07601
670,0.07339,0.07274,0.07339,0.07274,0.01846,1.97e-06,0.02834,0.02406,0.07405,0.07263
680,0.06789,0.06841,0.06789,0.06841,0.01698,1.841e-06,0.02641,0.02269,0.06999,0.0693
690,0.06371,0.06375,0.06371,0.06375,0.01667,1.751e-06,0.02562,0.02193,0.06638,0.0661
700,0.06012,0.05998,0.06012,0.05998,0.01589,1.676e-06,0.02421,0.02041,0.06311,0.06265
710,0.0564,0.0557,0.0564,0.0557,0.01464,1.582e-06,0.02301,0.01938,0.05928,0.05912
720,0.05339,0.05272,0.05339,0.05272,0.0144,1.513e-06,0.02169,0.01847,0.05671,0.0577
730,0.04964,0.04953,0.04964,0.04953,0.01374,1.417e-06,0.0209,0.01776,0.05414,0.05491
740,0.0465,0.04691,0.0465,0.04691,0.01329,1.325e-06,0.01985,0.01687,0.05157,0.0517
750,0.04365,0.04397,0.04365,0.04397,0.0127,1.27e-06,0.01839,0.01584,0.04888,0.04875
760,0.04123,0.04116,0.04123,0.04116,0.01209,1.212e-06,0.01796,0.01516,0.04667,0.04648
770,0.03879,0.03851,0.03879,0.03851,0.01144,1.149e-06,0.01691,0.01403,0.04478,0.0446
780,0.0366,0.0364,0.0366,0.0364,0.01076,1.092e-06,0.01533,0.01349,0.04205,0.04218
790,0.03461,0.03457,0.03461,0.03457,0.01049,1.047e-06,0.01572,0.01336,0.04117,0.03956
800,0.03257,0.0325,0.03257,0.0325,0.009849,9.857e-07,0.01479,0.01248,0.03931,0.03875
810,0.03091,0.0308,0.03091,0.0308,0.009566,9.412e-07,0.01406,0.01199,0.03771,0.0376
820,0.02891,0.02912,0.02891,0.02912,0.009227,8.909e-07,0.01339,0.01133,0.03599,0.0357
830,0.02731,0.02745,0.02731,0.02745,0.008866,8.605e-07,0.0131,0.01105,0.03456,0.03364
840,0.02586,0.02577,0.02586,0.02577,0.008326,8.07e-07,0.01249,0.01058,0.03294,0.0327
850,0.02423,0.02438,0.02423,0.02438,0.008121,7.709e-07,0.01183,0.009953,0.03141,0.03149
860,0.02321,0.02329,0.02321,0.02329,0.007782,7.443e-07,0.01133,0.009556,0.03031,0.02947
870,0.02194,0.02188,0.02194,0.02188,0.007377,6.95e-07,0.01089,0.00929,0.02917,0.02857
880,0.02091,0.02078,0.02091,0.02078,0.007115,6.756e-07,0.01052,0.008806,0.02773,0.02758
890,0.01968,0.0198,0.01968,0.0198,0.006874,6.476e-07,0.01002,0.008527,0.02657,0.02653
900,0.01852,0.01858,0.01852,0.01858,0.006453,6.12e-07,0.009603,0.008131,0.02541,0.02576
910,0.01758,0.01754,0.01758,0.01754,0.006365,5.944e-07,0.009078,0.007766,0.02487,0.02455
920,0.01681,0.01652,0.01681,0.01652,0.006043,5.644e-07,0.008832,0.007488,0.02363,0.02355
930,0.01599,0.0159,0.01599,0.0159,0.005875,5.477e-07,0.008397,0.007232,0.02301,0.02248
940,0.01513,0.01516,0.01513,0.01516,0.005671,5.233e-07,0.008188,0.006985,0.02196,0.02172
950,0.01444,0.01439,0.01444,0.01439,0.00544,4.971e-07,0.007846,0.006589,0.02089,0.02117
960,0.01357,0.01364,0.01357,0.01364,0.00532,4.763e-07,0.007485,0.006359,0.0202,0.02023
970,0.01293,0.01293,0.01293,0.01293,0.005162,4.622e-07,0.007349,0.006076,0.01976,0.01955
980,0.01235,0.01235,0.01235,0.01235,0.004861,4.448e-07,0.007047,0.005995,0.01864,0.01863
990,0.01181,0.01173,0.01181,0.01173,0.00476,4.267e-07,0.00675,0.005725,0.01839,0.01804
1000,0.01114,0.01113,0.01114,0.01113,0.004558,4.006e-07,0.006504,0.005496,0.0173,0.01745
1010,0.01067,0.0107,0.01067,0.0107,0.004432,3.905e-07,0.00625,0.005321,0.01675,0.01665
1020,0.01018,0.01018,0.01018,0.01018,0.004167,3.737e-07,0.005998,0.005119,0.01634,0.01569
1030,0.009665,0.009604,0.009665,0.009604,0.004151,3.624e-07,0.005778,0.004885,0.01567,0.01542
1040,0.009198,0.009147,0.009198,0.009147,0.003994,3.474e-07,0.005646,0.004761,0.01508,0.0151
1050,0.008747,0.008754,0.008747,0.008754,0.003828,3.388e-07,0.005395,0.004497,0.01457,0.01461
1060,0.008223,0.008319,0.008223,0.008319,0.003694,3.246e-07,0.005234,0.004382,0.01406,0.01405
1070,0.007954,0.007987,0.007954,0.007987,0.003636,3.121e-07,0.004957,0.004238,0.01392,0.01342
1080,0.007599,0.007529,0.007599,0.007529,0.003458,2.971e-07,0.00492,0.004165,0.01299,0.01294
1090,0.007278,0.007266,0.007278,0.007266,0.003352,2.901e-07,0.004634,0.00392,0.01274,0.01261
1100,0.006907,0.006945,0.006907,0.006945,0.003223,2.795e-07,0.004562,0.003878,0.01237,0.01223
1110,0.006651,0.00653,0.006651,0.00653,0.003176,2.669e-07,0.004391,0.003621,0.01174,0.01169
1120,0.006325,0.006357,0.006325,0.006357,0.002994,2.608e-07,0.004213,0.003596,0.01148,0.01157
1130,0.005994,0.005901,0.005994,0.005901,0.002892,2.489e-07,0.004094,0.003493,0.01115,0.01108
1140,0.005816,0.005813,0.005816,0.005813,0.002873,2.428e-07,0.003907,0.003343,0.01061,0.0107
1150,0.00554,0.005499,0.00554,0.005499,0.002735,2.374e-07,0.003797,0.003186,0.01047,0.01027
1160,0.005326,0.005332,0.005326,0.005332,0.002653,2.268e-07,0.003703,0.003119,0.01009,0.01
1170,0.005039,0.005059,0.005039,0.005059,0.002553,2.168e-07,0.003587,0.003061,0.009836,0.009382
1180,0.004805,0.004868,0.004805,0.004868,0.002505,2.119e-07,0.003456,0.002942,0.009352,0.0095
1190,0.004627,0.004642,0.004627,0.004642,0.00243,2.019e-07,0.003148,0.002836,0.009164,0.009211
1200,0.004416,0.004397,0.004416,0.004397,0.002385,1.968e-07,0.00326,0.002723,0.008632,0.008872
1210,0.004233,0.004248,0.004233,0.004248,0.002294,1.94e-07,0.003188,0.002704,0.008698,0.008598
1220,0.004075,0.004073,0.004075,0.004073,0.002219,1.843e-07,0.003089,0.00261,0.008374,0.008411
1230,0.00391,0.003902,0.00391,0.003902,0.002177,1.764e-07,0.003013,0.002532,0.008112,0.008023
1240,0.003719,0.003688,0.003719,0.003688,0.002102,1.749e-07,0.00291,0.002477,0.007658,0.00785
1250,0.003553,0.003574,0.003553,0.003574,0.002039,1.649e-07,0.002789,0.002369,0.007635,0.007694
1260,0.003441,0.003432,0.003441,0.003432,0.001984,1.631e-07,0.002791,0.002317,0.007582,0.007366
1270,0.003257,0.003302,0.003257,0.003302,0.0019,1.596e-07,0.002603,0.002256,0.007241,0.007165
1280,0.003135,0.00314,0.003135,0.00314,0.001885,1.497e-07,0.002564,0.002176,0.007009,0.006993
1290,0.003031,0.002994,0.003031,0.002994,0.001815,1.501e-07,0.002471,0.002091,0.006754,0.006811
1300,0.002833,0.002881,0.002833,0.002881,0.001729,1.407e-07,0.002402,0.00207,0.006561,0.006555
1310,0.002806,0.002799,0.002806,0.002799,0.001727,1.387e-07,0.002343,0.001968,0.006413,0.00642
1320,0.002657,0.002692,0.002657,0.002692,0.001674,1.37e-07,0.002286,0.00193,0.006306,0.006198
1330,0.002557,0.002556,0.002557,0.002556,0.001612,1.312e-07,0.002204,0.001881,0.006084,0.005992
